C,max_iter,accuracy,precision,recall,f1
0.1,20,0.6666666666666666,0.6443768996960486,0.5221674876847291,0.5768707482993197
0.1,20,0.6752411575562701,0.6624605678233438,0.5172413793103449,0.5809128630705395
0.1,20,0.6630901287553648,0.6337209302325582,0.5369458128078818,0.5813333333333334
0.1,20,0.6791845493562232,0.6549707602339181,0.5530864197530864,0.5997322623828647
0.1,20,0.6813304721030042,0.65,0.5777777777777777,0.6117647058823529
0.1,20,0.6709539121114684,0.6523076923076923,0.5221674876847291,0.5800273597811217
0.1,20,0.6409431939978564,0.6041055718475073,0.5073891625615764,0.5515394912985274
0.1,20,0.6706008583690987,0.6460176991150443,0.5394088669950738,0.5879194630872483
0.1,20,0.6866952789699571,0.6706948640483383,0.5481481481481482,0.6032608695652173
0.1,20,0.6813304721030042,0.6508379888268156,0.5753086419753086,0.6107470511140236
0.1,20,0.6763129689174705,0.6529411764705882,0.5467980295566502,0.5951742627345845
0.1,20,0.6505894962486602,0.6183431952662722,0.5147783251231527,0.5618279569892474
0.1,20,0.6791845493562232,0.6473829201101928,0.5788177339901478,0.611183355006502
0.1,20,0.6813304721030042,0.6646341463414634,0.5382716049382716,0.5948158253751705
0.1,20,0.6759656652360515,0.6594427244582043,0.5259259259259259,0.5851648351648352
0.1,20,0.669882100750268,0.6666666666666666,0.4827586206896552,0.56
0.1,20,0.6720257234726688,0.6453488372093024,0.5467980295566502,0.5920000000000001
0.1,20,0.6909871244635193,0.672514619883041,0.5665024630541872,0.6149732620320855
0.1,20,0.6684549356223176,0.6348314606741573,0.5580246913580247,0.5939553219448095
0.1,20,0.6652360515021459,0.6317280453257791,0.5506172839506173,0.5883905013192613
0.1,20,0.6645230439442658,0.6347826086956522,0.5394088669950738,0.5832223701731025
0.1,20,0.6655948553054662,0.6407185628742516,0.5270935960591133,0.5783783783783785
0.1,20,0.6652360515021459,0.6366279069767442,0.5394088669950738,0.584
0.1,20,0.6856223175965666,0.6666666666666666,0.5530864197530864,0.6045883940620782
0.1,20,0.677038626609442,0.655688622754491,0.5407407407407407,0.5926928281461433
0.1,20,0.7009646302250804,0.6918429003021148,0.5640394088669951,0.621438263229308
0.1,20,0.6430868167202572,0.603988603988604,0.5221674876847291,0.5601056803170409
0.1,20,0.6663090128755365,0.6479750778816199,0.5123152709359606,0.5722145804676755
0.1,20,0.6727467811158798,0.6436781609195402,0.5530864197530864,0.594953519256308
0.1,20,0.6738197424892703,0.6516516516516516,0.5358024691358024,0.5880758807588076
0.1,20,0.6859592711682744,0.6717325227963525,0.5443349753694581,0.601360544217687
0.1,20,0.6752411575562701,0.6484149855907781,0.5541871921182266,0.5976095617529881
0.1,20,0.6781115879828327,0.6596385542168675,0.5394088669950738,0.5934959349593495
0.1,20,0.674892703862661,0.6536144578313253,0.5358024691358024,0.5888738127544098
0.1,20,0.6416309012875536,0.6028985507246377,0.5135802469135803,0.5546666666666668
0.1,20,0.677384780278671,0.6615384615384615,0.5295566502463054,0.588235294117647
0.1,20,0.6763129689174705,0.6538461538461539,0.5443349753694581,0.5940860215053764
0.1,20,0.6791845493562232,0.6559766763848397,0.5541871921182266,0.6008010680907877
0.1,20,0.6684549356223176,0.6437125748502994,0.5308641975308642,0.5818673883626524
