learning_rate,depth,rsm,subsample,min_data_in_leaf,accuracy,precision,recall,f1
0.08,5,0.9,0.6,140,0.6977491961414791,0.6640211640211641,0.6182266009852216,0.6403061224489797
0.08,5,0.9,0.6,140,0.6870310825294748,0.659217877094972,0.5812807881773399,0.6178010471204187
0.08,5,0.9,0.6,140,0.6920600858369099,0.6714697406340058,0.5738916256157636,0.6188579017264276
0.08,5,0.9,0.6,140,0.6813304721030042,0.6607142857142857,0.5481481481481482,0.5991902834008097
0.08,5,0.9,0.6,140,0.6824034334763949,0.6646525679758308,0.5432098765432098,0.5978260869565217
0.08,5,0.9,0.6,140,0.6827438370846731,0.6580459770114943,0.5640394088669951,0.6074270557029178
0.08,5,0.9,0.6,140,0.6881028938906752,0.6676384839650146,0.5640394088669951,0.6114819759679574
0.08,5,0.9,0.6,140,0.6856223175965666,0.66189111747851,0.5689655172413793,0.6119205298013246
0.08,5,0.9,0.6,140,0.6824034334763949,0.6518105849582173,0.5777777777777777,0.6125654450261779
0.08,5,0.9,0.6,140,0.6834763948497854,0.6527777777777778,0.5802469135802469,0.6143790849673203
0.08,5,0.9,0.6,140,0.6988210075026795,0.6865671641791045,0.5665024630541872,0.620782726045884
0.08,5,0.9,0.6,140,0.677384780278671,0.6422764227642277,0.583743842364532,0.6116129032258064
0.08,5,0.9,0.6,140,0.7006437768240343,0.6788732394366197,0.5935960591133005,0.633377135348226
0.08,5,0.9,0.6,140,0.6984978540772532,0.6949685534591195,0.5456790123456791,0.61134163208852
0.08,5,0.9,0.6,140,0.6866952789699571,0.6506666666666666,0.6024691358024692,0.6256410256410256
0.08,5,0.9,0.6,140,0.6945337620578779,0.667590027700831,0.5935960591133005,0.6284224250325945
0.08,5,0.9,0.6,140,0.7170418006430869,0.7125748502994012,0.5862068965517241,0.6432432432432431
0.08,5,0.9,0.6,140,0.6931330472103004,0.6648351648351648,0.5960591133004927,0.6285714285714286
0.08,5,0.9,0.6,140,0.6931330472103004,0.672463768115942,0.5728395061728395,0.6186666666666666
0.08,5,0.9,0.6,140,0.6888412017167382,0.6601671309192201,0.5851851851851851,0.6204188481675392
0.08,5,0.9,0.6,140,0.7213290460878885,0.7050561797752809,0.6182266009852216,0.6587926509186351
0.08,5,0.9,0.6,140,0.6655948553054662,0.632768361581921,0.5517241379310345,0.5894736842105263
0.08,5,0.9,0.6,140,0.6598712446351931,0.6205962059620597,0.5640394088669951,0.5909677419354838
0.08,5,0.9,0.6,140,0.6963519313304721,0.672316384180791,0.5876543209876544,0.6271409749670619
0.08,5,0.9,0.6,140,0.7092274678111588,0.7067901234567902,0.5654320987654321,0.6282578875171468
0.08,5,0.9,0.6,140,0.7052518756698821,0.6909620991253644,0.583743842364532,0.6328437917222964
0.08,5,0.9,0.6,140,0.677384780278671,0.6470588235294118,0.5689655172413793,0.6055045871559633
0.08,5,0.9,0.6,140,0.6759656652360515,0.6368421052631579,0.5960591133004927,0.6157760814249363
0.08,5,0.9,0.6,140,0.6877682403433476,0.6737804878048781,0.5456790123456791,0.6030013642564803
0.08,5,0.9,0.6,140,0.7156652360515021,0.7,0.6049382716049383,0.6490066225165563
0.08,5,0.9,0.6,140,0.6784565916398714,0.6568047337278107,0.5467980295566502,0.596774193548387
0.08,5,0.9,0.6,140,0.6806002143622722,0.6483516483516484,0.5812807881773399,0.6129870129870131
0.08,5,0.9,0.6,140,0.7070815450643777,0.6894586894586895,0.5960591133004927,0.6393659180977542
0.08,5,0.9,0.6,140,0.6909871244635193,0.6685878962536023,0.5728395061728395,0.6170212765957447
0.08,5,0.9,0.6,140,0.6931330472103004,0.6666666666666666,0.5876543209876544,0.6246719160104988
0.08,5,0.9,0.6,140,0.6891747052518756,0.6629213483146067,0.5812807881773399,0.6194225721784776
0.08,5,0.9,0.6,140,0.6977491961414791,0.6751412429378532,0.5886699507389163,0.6289473684210527
0.08,5,0.9,0.6,140,0.6813304721030042,0.6518105849582173,0.5763546798029556,0.611764705882353
0.08,5,0.9,0.6,140,0.7070815450643777,0.6875,0.5975308641975309,0.6393659180977543
0.08,5,0.9,0.6,140,0.6716738197424893,0.6348773841961853,0.5753086419753086,0.6036269430051813
0.08,5,0.9,0.6,140,0.7020364415862809,0.6787709497206704,0.5985221674876847,0.6361256544502617
0.08,5,0.9,0.6,140,0.692390139335477,0.6657381615598886,0.5886699507389163,0.6248366013071895
0.08,5,0.9,0.6,140,0.7006437768240343,0.6759002770083102,0.6009852216748769,0.636245110821382
0.08,5,0.9,0.6,140,0.6759656652360515,0.6434540389972145,0.5703703703703704,0.6047120418848168
0.08,5,0.9,0.6,140,0.6963519313304721,0.6837349397590361,0.5604938271604938,0.6160108548168249
0.08,5,0.9,0.6,140,0.7052518756698821,0.6834733893557423,0.6009852216748769,0.6395806028833552
0.08,5,0.9,0.6,140,0.6784565916398714,0.648876404494382,0.5689655172413793,0.6062992125984251
0.08,5,0.9,0.6,140,0.6791845493562232,0.656891495601173,0.5517241379310345,0.5997322623828647
0.08,5,0.9,0.6,140,0.7027896995708155,0.674863387978142,0.6098765432098765,0.6407263294422827
0.08,5,0.9,0.6,140,0.677038626609442,0.6585365853658537,0.5333333333333333,0.5893587994542975
0.08,5,0.9,0.6,140,0.7041800643086816,0.6825842696629213,0.5985221674876847,0.6377952755905512
0.08,5,0.9,0.6,140,0.6870310825294748,0.6583333333333333,0.583743842364532,0.6187989556135771
0.08,5,0.9,0.6,140,0.7124463519313304,0.7041420118343196,0.5862068965517241,0.6397849462365592
0.08,5,0.9,0.6,140,0.6706008583690987,0.6432748538011696,0.5432098765432098,0.5890227576974565
0.08,5,0.9,0.6,140,0.6824034334763949,0.6598240469208211,0.5555555555555556,0.6032171581769437
0.08,5,0.9,0.6,140,0.6891747052518756,0.6567567567567567,0.5985221674876847,0.6262886597938143
0.08,5,0.9,0.6,140,0.677384780278671,0.647887323943662,0.5665024630541872,0.6044678055190538
0.08,5,0.9,0.6,140,0.6877682403433476,0.6666666666666666,0.5665024630541872,0.6125166444740346
0.08,5,0.9,0.6,140,0.6695278969957081,0.6439169139465876,0.5358024691358024,0.5849056603773585
0.08,5,0.9,0.6,140,0.6695278969957081,0.6397694524495677,0.5481481481481482,0.5904255319148937
0.08,5,0.9,0.6,140,0.6752411575562701,0.6484149855907781,0.5541871921182266,0.5976095617529881
0.08,5,0.9,0.6,140,0.7063236870310825,0.6875,0.5960591133004927,0.6385224274406333
0.08,5,0.9,0.6,140,0.6974248927038627,0.6771428571428572,0.583743842364532,0.6269841269841271
0.08,5,0.9,0.6,140,0.6963519313304721,0.690625,0.5456790123456791,0.6096551724137932
0.08,5,0.9,0.6,140,0.677038626609442,0.6444444444444445,0.5728395061728395,0.6065359477124183
0.08,5,0.9,0.6,140,0.6913183279742765,0.656084656084656,0.6108374384236454,0.6326530612244898
0.08,5,0.9,0.6,140,0.6891747052518756,0.6620111731843575,0.583743842364532,0.6204188481675392
0.08,5,0.9,0.6,140,0.6877682403433476,0.6601671309192201,0.583743842364532,0.6196078431372549
0.08,5,0.9,0.6,140,0.6856223175965666,0.6609195402298851,0.5679012345679012,0.6108897742363878
0.08,5,0.9,0.6,140,0.6759656652360515,0.6655948553054662,0.5111111111111111,0.5782122905027933
0.08,5,0.9,0.6,140,0.6870310825294748,0.659217877094972,0.5812807881773399,0.6178010471204187
0.08,5,0.9,0.6,140,0.6891747052518756,0.6676300578034682,0.5689655172413793,0.6143617021276595
0.08,5,0.9,0.6,140,0.677038626609442,0.6487252124645893,0.5640394088669951,0.6034255599472992
0.08,5,0.9,0.6,140,0.6909871244635193,0.6811145510835913,0.5432098765432098,0.6043956043956044
0.08,5,0.9,0.6,140,0.6620171673819742,0.6222826086956522,0.5654320987654321,0.592496765847348
0.08,5,0.9,0.6,140,0.6988210075026795,0.6811594202898551,0.5788177339901478,0.625832223701731
0.08,5,0.9,0.6,140,0.6827438370846731,0.6462765957446809,0.5985221674876847,0.6214833759590793
0.08,5,0.9,0.6,140,0.7017167381974249,0.6893491124260355,0.5738916256157636,0.6263440860215054
0.08,5,0.9,0.6,140,0.6673819742489271,0.6273458445040214,0.5777777777777777,0.6015424164524421
0.08,5,0.9,0.6,140,0.6824034334763949,0.6687306501547987,0.5333333333333333,0.5934065934065933
0.08,5,0.9,0.6,140,0.6709539121114684,0.6363636363636364,0.5689655172413793,0.6007802340702211
0.08,5,0.9,0.6,140,0.6913183279742765,0.6705202312138728,0.5714285714285714,0.6170212765957446
0.08,5,0.9,0.6,140,0.6845493562231759,0.648936170212766,0.6009852216748769,0.6240409207161125
0.08,5,0.9,0.6,140,0.6974248927038627,0.6880733944954128,0.5555555555555556,0.6147540983606558
0.08,5,0.9,0.6,140,0.6813304721030042,0.652542372881356,0.5703703703703704,0.6086956521739131
0.08,5,0.9,0.6,140,0.6881028938906752,0.6747720364741642,0.5467980295566502,0.6040816326530613
0.08,5,0.9,0.6,140,0.6795284030010718,0.6550724637681159,0.5566502463054187,0.6018641810918774
0.08,5,0.9,0.6,140,0.674892703862661,0.6501457725947521,0.5492610837438424,0.595460614152203
0.08,5,0.9,0.6,140,0.6963519313304721,0.672316384180791,0.5876543209876544,0.6271409749670619
0.08,5,0.9,0.6,140,0.7017167381974249,0.6711590296495957,0.6148148148148148,0.6417525773195876
0.08,5,0.9,0.6,140,0.6891747052518756,0.6464646464646465,0.6305418719211823,0.6384039900249378
0.08,5,0.9,0.6,140,0.7041800643086816,0.6805555555555556,0.603448275862069,0.639686684073107
0.08,5,0.9,0.6,140,0.7027896995708155,0.6880466472303207,0.5812807881773399,0.630173564753004
0.08,5,0.9,0.6,140,0.6899141630901288,0.6779141104294478,0.5456790123456791,0.6046511627906976
0.08,5,0.9,0.6,140,0.6759656652360515,0.6555891238670695,0.5358024691358024,0.5896739130434782
0.08,5,0.9,0.6,140,0.6966773847802786,0.6666666666666666,0.6059113300492611,0.6348387096774194
0.08,5,0.9,0.6,140,0.677384780278671,0.6495726495726496,0.5615763546798029,0.6023778071334215
0.08,5,0.9,0.6,140,0.7124463519313304,0.6885245901639344,0.6206896551724138,0.6528497409326426
0.08,5,0.9,0.6,140,0.6834763948497854,0.65625,0.5703703703703704,0.6103038309114928
0.08,5,0.9,0.6,140,0.6866952789699571,0.66189111747851,0.5703703703703704,0.6127320954907163
0.08,5,0.9,0.6,140,0.6945337620578779,0.6784660766961652,0.5665024630541872,0.6174496644295302
0.08,5,0.9,0.6,140,0.6881028938906752,0.6758409785932722,0.5443349753694581,0.6030013642564801
0.08,5,0.9,0.6,140,0.6834763948497854,0.6537396121883656,0.5812807881773399,0.6153846153846154
0.08,5,0.9,0.6,140,0.674892703862661,0.6491228070175439,0.5481481481481482,0.5943775100401607
0.08,5,0.9,0.6,140,0.6813304721030042,0.6483516483516484,0.582716049382716,0.6137841352405722
0.08,5,0.9,0.6,140,0.6870310825294748,0.654891304347826,0.5935960591133005,0.6227390180878553
0.08,5,0.9,0.6,140,0.7095391211146839,0.6912181303116147,0.6009852216748769,0.6429512516469037
0.08,5,0.9,0.6,140,0.6974248927038627,0.6751412429378532,0.5886699507389163,0.6289473684210527
0.08,5,0.9,0.6,140,0.6802575107296137,0.6507042253521127,0.5703703703703704,0.6078947368421054
0.08,5,0.9,0.6,140,0.6866952789699571,0.6628242074927954,0.5679012345679012,0.6117021276595744
0.08,5,0.9,0.6,140,0.6891747052518756,0.6676300578034682,0.5689655172413793,0.6143617021276595
0.08,5,0.9,0.6,140,0.6977491961414791,0.6693989071038251,0.603448275862069,0.6347150259067358
0.08,5,0.9,0.6,140,0.6952789699570815,0.6815476190476191,0.5640394088669951,0.6172506738544474
0.08,5,0.9,0.6,140,0.6791845493562232,0.6497175141242938,0.5679012345679012,0.6060606060606061
0.08,5,0.9,0.6,140,0.6920600858369099,0.6735294117647059,0.5654320987654321,0.614765100671141
0.08,5,0.9,0.6,140,0.6645230439442658,0.6267029972752044,0.5665024630541872,0.5950840879689522
0.08,5,0.9,0.6,140,0.7041800643086816,0.6923076923076923,0.5763546798029556,0.629032258064516
0.08,5,0.9,0.6,140,0.6931330472103004,0.6724137931034483,0.5763546798029556,0.6206896551724137
0.08,5,0.9,0.6,140,0.7167381974248928,0.6997167138810199,0.6098765432098765,0.6517150395778364
0.08,5,0.9,0.6,140,0.6920600858369099,0.6798780487804879,0.5506172839506173,0.6084583901773533
0.08,5,0.9,0.6,140,0.6956055734190782,0.6588541666666666,0.6231527093596059,0.6405063291139241
