n_estimators,max_depth,accuracy,precision,recall,f1
50,5,0.6602357984994641,0.7013574660633484,0.3817733990147783,0.4944178628389154
50,5,0.6741693461950696,0.7475728155339806,0.3793103448275862,0.5032679738562091
50,5,0.6545064377682404,0.71,0.3497536945812808,0.4686468646864687
50,5,0.6630901287553648,0.7541899441340782,0.3333333333333333,0.4623287671232877
50,5,0.6469957081545065,0.6958762886597938,0.3333333333333333,0.4507512520868114
50,5,0.6602357984994641,0.7170731707317073,0.3620689655172414,0.48117839607201307
50,5,0.662379421221865,0.745945945945946,0.3399014778325123,0.467005076142132
50,5,0.6587982832618026,0.72,0.35467980295566504,0.4752475247524753
50,5,0.6738197424892703,0.7148936170212766,0.4148148148148148,0.5249999999999999
50,5,0.6437768240343348,0.665158371040724,0.362962962962963,0.4696485623003195
50,5,0.6677384780278671,0.7242990654205608,0.3817733990147783,0.5
50,5,0.6570203644158628,0.6885964912280702,0.3866995073891626,0.4952681388012619
50,5,0.6620171673819742,0.7058823529411765,0.3842364532019704,0.49760765550239233
50,5,0.6427038626609443,0.702247191011236,0.30864197530864196,0.4288164665523156
50,5,0.6738197424892703,0.7148936170212766,0.4148148148148148,0.5249999999999999
50,5,0.6677384780278671,0.7285714285714285,0.3768472906403941,0.4967532467532467
50,5,0.6580921757770632,0.7208121827411168,0.3497536945812808,0.47097844112769494
50,5,0.6566523605150214,0.7009345794392523,0.3694581280788177,0.4838709677419355
50,5,0.6630901287553648,0.7286432160804021,0.35802469135802467,0.4801324503311259
50,5,0.6469957081545065,0.6844660194174758,0.34814814814814815,0.4615384615384615
50,5,0.6634512325830654,0.7,0.39655172413793105,0.5062893081761006
50,5,0.6720257234726688,0.7427184466019418,0.3768472906403941,0.5
50,5,0.6394849785407726,0.6699029126213593,0.3399014778325123,0.4509803921568627
50,5,0.6781115879828327,0.7488151658767772,0.39012345679012345,0.512987012987013
50,5,0.6469957081545065,0.7261904761904762,0.3012345679012346,0.4258289703315882
50,5,0.662379421221865,0.7433155080213903,0.34236453201970446,0.46880269814502534
50,5,0.6345123258306538,0.6756756756756757,0.3078817733990148,0.4230118443316413
50,5,0.6298283261802575,0.6380090497737556,0.3472906403940887,0.44976076555023925
50,5,0.6469957081545065,0.7375,0.291358024691358,0.4176991150442478
50,5,0.6856223175965666,0.7828282828282829,0.38271604938271603,0.5140961857379768
50,5,0.6441586280814576,0.7010869565217391,0.31773399014778325,0.43728813559322033
50,5,0.6827438370846731,0.7291666666666666,0.43103448275862066,0.5417956656346749
50,5,0.6781115879828327,0.7623762376237624,0.3793103448275862,0.506578947368421
50,5,0.657725321888412,0.6902654867256637,0.3851851851851852,0.49445324881141045
50,5,0.6512875536480687,0.7083333333333334,0.3358024691358025,0.4556113902847571
50,5,0.6677384780278671,0.7201834862385321,0.3866995073891626,0.5032051282051282
50,5,0.6784565916398714,0.7760416666666666,0.3669950738916256,0.49832775919732447
50,5,0.6587982832618026,0.7135922330097088,0.3620689655172414,0.4803921568627451
50,5,0.6620171673819742,0.7445652173913043,0.33827160493827163,0.4651952461799661
50,5,0.6609442060085837,0.6960352422907489,0.39012345679012345,0.5
50,5,0.669882100750268,0.7008196721311475,0.4211822660098522,0.5261538461538462
50,5,0.6334405144694534,0.6720430107526881,0.3078817733990148,0.4222972972972973
50,5,0.6781115879828327,0.71900826446281,0.42857142857142855,0.537037037037037
50,5,0.6856223175965666,0.7666666666666667,0.39753086419753086,0.5235772357723577
50,5,0.6459227467811158,0.6811594202898551,0.34814814814814815,0.46078431372549017
50,5,0.6730975348338692,0.7285067873303167,0.39655172413793105,0.5135566188197767
50,5,0.6666666666666666,0.7168949771689498,0.3866995073891626,0.5024
50,5,0.6351931330472103,0.6736842105263158,0.31527093596059114,0.4295302013422819
50,5,0.6834763948497854,0.7083333333333334,0.4617283950617284,0.5590433482810165
50,5,0.6427038626609443,0.7068965517241379,0.3037037037037037,0.4248704663212434
50,5,0.6795284030010718,0.7688442211055276,0.3768472906403941,0.5057851239669421
50,5,0.6752411575562701,0.721030042918455,0.41379310344827586,0.5258215962441314
50,5,0.6469957081545065,0.7081081081081081,0.3226600985221675,0.44331641285956
50,5,0.6566523605150214,0.6778242677824268,0.4,0.5031055900621119
50,5,0.6405579399141631,0.7083333333333334,0.2938271604938272,0.41535776614310654
50,5,0.6591639871382636,0.705607476635514,0.37192118226600984,0.4870967741935484
50,5,0.654876741693462,0.7210526315789474,0.3374384236453202,0.45973154362416113
50,5,0.6641630901287554,0.7513513513513513,0.34236453201970446,0.47038917089678506
50,5,0.6598712446351931,0.7037037037037037,0.37530864197530867,0.48953301127214177
50,5,0.6427038626609443,0.6818181818181818,0.3333333333333333,0.4477611940298507
50,5,0.6559485530546624,0.717948717948718,0.3448275862068966,0.4658901830282863
50,5,0.6559485530546624,0.7053140096618358,0.35960591133004927,0.4763458401305057
50,5,0.6673819742489271,0.7264150943396226,0.3793103448275862,0.49838187702265363
50,5,0.6716738197424893,0.7323943661971831,0.3851851851851852,0.5048543689320388
50,5,0.6448497854077253,0.6745283018867925,0.3530864197530864,0.4635332252836305
50,5,0.6516613076098606,0.7076923076923077,0.3399014778325123,0.45923460898502494
50,5,0.6602357984994641,0.7258883248730964,0.3522167487684729,0.47429519071310117
50,5,0.6298283261802575,0.6596858638743456,0.3103448275862069,0.4221105527638191
50,5,0.6716738197424893,0.726027397260274,0.3925925925925926,0.5096153846153846
50,5,0.6598712446351931,0.6981981981981982,0.38271604938271603,0.4944178628389155
50,5,0.6505894962486602,0.6709401709401709,0.3866995073891626,0.4906249999999999
50,5,0.6709539121114684,0.7106382978723405,0.41133004926108374,0.5210608424336973
50,5,0.6416309012875536,0.6818181818181818,0.33251231527093594,0.4470198675496689
50,5,0.648068669527897,0.712707182320442,0.31851851851851853,0.4402730375426621
50,5,0.657725321888412,0.6972477064220184,0.37530864197530867,0.4879614767255217
50,5,0.662379421221865,0.7757575757575758,0.31527093596059114,0.4483362521891419
50,5,0.6602357984994641,0.7031963470319634,0.3793103448275862,0.4928
50,5,0.6706008583690987,0.7239819004524887,0.39408866995073893,0.5103668261562999
