n_neighbors,accuracy,precision,recall,f1
1,0.632368703108253,0.5785536159600998,0.5714285714285714,0.5749690210656753
1,0.6227224008574491,0.5767045454545454,0.5,0.5356200527704486
1,0.6137339055793991,0.5583756345177665,0.541871921182266,0.5499999999999999
1,0.6072961373390557,0.549618320610687,0.5333333333333333,0.5413533834586467
1,0.6062231759656652,0.5536723163841808,0.4839506172839506,0.5164690382081686
1,0.6195069667738478,0.5706371191135734,0.5073891625615764,0.5371577574967406
1,0.6195069667738478,0.5669291338582677,0.5320197044334976,0.5489199491740787
1,0.6180257510729614,0.5651041666666666,0.5344827586206896,0.5493670886075949
1,0.621244635193133,0.5691489361702128,0.528395061728395,0.5480153649167734
1,0.6319742489270386,0.5752427184466019,0.5851851851851851,0.5801713586291309
1,0.6527331189710611,0.6114130434782609,0.5541871921182266,0.5813953488372092
1,0.6377277599142551,0.5894736842105263,0.5517241379310345,0.5699745547073791
1,0.630901287553648,0.585635359116022,0.5221674876847291,0.5520833333333333
1,0.6148068669527897,0.5625,0.5111111111111111,0.535575679172057
1,0.6115879828326181,0.5536159600997507,0.5481481481481482,0.5508684863523574
1,0.617363344051447,0.5620253164556962,0.5467980295566502,0.5543071161048688
1,0.6655948553054662,0.6186868686868687,0.603448275862069,0.6109725685785536
1,0.6115879828326181,0.5585106382978723,0.5172413793103449,0.5370843989769821
1,0.6169527896995708,0.5662983425414365,0.5061728395061729,0.5345501955671448
1,0.619098712446352,0.5657894736842105,0.5308641975308642,0.5477707006369427
1,0.647374062165059,0.59846547314578,0.5763546798029556,0.5872020075282308
1,0.6270096463022508,0.5725,0.5640394088669951,0.5682382133995038
1,0.6105150214592274,0.5576407506702413,0.5123152709359606,0.5340179717586649
1,0.648068669527897,0.6037735849056604,0.5530864197530864,0.5773195876288659
1,0.6115879828326181,0.5552699228791774,0.5333333333333333,0.544080604534005
1,0.6152197213290461,0.5643835616438356,0.5073891625615764,0.5343709468223088
1,0.6237942122186495,0.5774647887323944,0.5049261083743842,0.5387647831800263
1,0.628755364806867,0.5746268656716418,0.5689655172413793,0.5717821782178217
1,0.6276824034334764,0.5779569892473119,0.5308641975308642,0.5534105534105535
1,0.6062231759656652,0.5482233502538071,0.5333333333333333,0.5406758448060075
1,0.6270096463022508,0.5788043478260869,0.5246305418719212,0.5503875968992247
1,0.617363344051447,0.5599022004889975,0.5640394088669951,0.5619631901840492
1,0.6158798283261803,0.5655737704918032,0.5098522167487685,0.5362694300518136
1,0.5954935622317596,0.5366492146596858,0.5061728395061729,0.5209656925031767
1,0.6523605150214592,0.6046511627906976,0.5777777777777777,0.5909090909090908
1,0.639871382636656,0.5853658536585366,0.5911330049261084,0.5882352941176471
1,0.6162915326902465,0.5674157303370787,0.4975369458128079,0.5301837270341208
1,0.6373390557939914,0.5880829015544041,0.5591133004926109,0.5732323232323232
1,0.630901287553648,0.5826558265582655,0.5308641975308642,0.5555555555555557
1,0.6148068669527897,0.5618279569892473,0.5160493827160494,0.5379665379665378
1,0.5905680600214362,0.5314136125654451,0.5,0.515228426395939
1,0.6452304394426581,0.5984251968503937,0.5615763546798029,0.5794155019059721
1,0.6502145922746781,0.6005025125628141,0.5886699507389163,0.5945273631840795
1,0.6137339055793991,0.5547445255474452,0.562962962962963,0.5588235294117646
1,0.6148068669527897,0.5608465608465608,0.5234567901234568,0.5415070242656449
1,0.6377277599142551,0.5858585858585859,0.5714285714285714,0.5785536159600998
1,0.6280814576634512,0.5817174515235457,0.5172413793103449,0.5475880052151239
1,0.6040772532188842,0.5498652291105122,0.5024630541871922,0.5250965250965252
1,0.628755364806867,0.5758354755784062,0.5530864197530864,0.5642317380352644
1,0.628755364806867,0.5830985915492958,0.5111111111111111,0.5447368421052631
1,0.6366559485530546,0.5839598997493735,0.5738916256157636,0.5788819875776398
1,0.6377277599142551,0.5871794871794872,0.5640394088669951,0.5753768844221104
1,0.6233905579399142,0.5725593667546174,0.5344827586206896,0.5528662420382165
1,0.6180257510729614,0.5653333333333334,0.5234567901234568,0.5435897435897437
1,0.6137339055793991,0.5606469002695418,0.5135802469135803,0.5360824742268041
1,0.639871382636656,0.5916230366492147,0.5566502463054187,0.5736040609137055
1,0.6377277599142551,0.5894736842105263,0.5517241379310345,0.5699745547073791
1,0.619098712446352,0.5652173913043478,0.5443349753694581,0.5545796737766624
1,0.6008583690987125,0.5417721518987342,0.528395061728395,0.5349999999999999
1,0.6276824034334764,0.5792349726775956,0.5234567901234568,0.5499351491569391
1,0.6066452304394426,0.549618320610687,0.5320197044334976,0.5406758448060075
1,0.6270096463022508,0.5747422680412371,0.5492610837438424,0.5617128463476071
1,0.6266094420600858,0.5792349726775956,0.5221674876847291,0.5492227979274611
1,0.6416309012875536,0.6047197640117994,0.5061728395061729,0.5510752688172043
1,0.6351931330472103,0.5844155844155844,0.5555555555555556,0.5696202531645569
1,0.6591639871382636,0.6145833333333334,0.5812807881773399,0.5974683544303796
1,0.6184351554126474,0.5625,0.5541871921182266,0.5583126550868487
1,0.6223175965665236,0.5681818181818182,0.5541871921182266,0.5610972568578555
1,0.6266094420600858,0.575197889182058,0.5382716049382716,0.5561224489795918
1,0.6180257510729614,0.5674931129476584,0.508641975308642,0.5364583333333333
1,0.6355841371918542,0.5911602209944752,0.5270935960591133,0.5572916666666666
1,0.6259378349410504,0.576,0.5320197044334976,0.5531370038412292
1,0.6298283261802575,0.5792207792207792,0.5492610837438424,0.5638432364096081
1,0.6105150214592274,0.5558510638297872,0.5160493827160494,0.5352112676056339
1,0.6105150214592274,0.5517241379310345,0.5530864197530864,0.5524044389642417
1,0.632368703108253,0.5877437325905293,0.5197044334975369,0.5516339869281046
1,0.6345123258306538,0.5818639798488665,0.5689655172413793,0.5753424657534247
1,0.6008583690987125,0.5438144329896907,0.5197044334975369,0.5314861460957179
1,0.621244635193133,0.5637254901960784,0.5679012345679012,0.5658056580565806
1,0.6351931330472103,0.590027700831025,0.5259259259259259,0.5561357702349868
1,0.6109324758842444,0.5564304461942258,0.5221674876847291,0.5387547649301143
1,0.6055734190782422,0.5510752688172043,0.5049261083743842,0.5269922879177379
1,0.628755364806867,0.572463768115942,0.583743842364532,0.578048780487805
1,0.6394849785407726,0.596100278551532,0.528395061728395,0.5602094240837697
1,0.619098712446352,0.5647668393782384,0.5382716049382716,0.5512010113780026
1,0.6227224008574491,0.5692307692307692,0.5467980295566502,0.5577889447236182
1,0.6270096463022508,0.5810055865921788,0.5123152709359606,0.5445026178010471
1,0.6158798283261803,0.5634920634920635,0.5246305418719212,0.5433673469387755
1,0.6062231759656652,0.5502645502645502,0.5135802469135803,0.5312899106002554
1,0.6469957081545065,0.5959595959595959,0.582716049382716,0.5892634207240949
1,0.6120042872454448,0.5558375634517766,0.5394088669950738,0.5474999999999999
1,0.6237942122186495,0.5725593667546174,0.5344827586206896,0.5528662420382165
1,0.628755364806867,0.581081081081081,0.5295566502463054,0.5541237113402062
1,0.6319742489270386,0.5875706214689266,0.5135802469135803,0.5480895915678525
1,0.6319742489270386,0.5815789473684211,0.5456790123456791,0.5630573248407644
